Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Website,MainPhone,MainEmail,ContactName1,ContactTitle1,OTCMarketsURL
GZIC,GZ6G TECHNOLOGIES CORP,Pink Current,2.12,0.9524,39790,Common Stock,USA,California,,,,,,
WCCP,WEALTHCRAFT CAPITAL INC,Pink Current,0.2529,,3,Common Stock,USA,California,,,,,,
WDLF,SOCIAL LIFE NETWORK INC,Pink Current,0.0198,-4.3478,50314782,Common Stock,USA,Colorado,,,,,,
NRLB,NORTHERN CALIF BNCP INC,Pink Current,2.01,,0,Common Stock,USA,California,,,,,,
MHPC,MANUFACTURED HOUSING PROP,Pink Current,2.04,,0,Common Stock,USA,North Carolina,,,,,,
ALOD,ALLIED RESOURCES INC,Pink Current,0.31,,0,Common Stock,USA,Utah,,,,,,
UFCP,UNION FINANCIAL CORP,Pink Current,5,,0,Common Stock,USA,Michigan,,,,,,
NUVM,NUVIM INC,Pink Current,0.0103,,0,Common Stock,USA,Delaware,,,,,,
ALST,ALLSTAR HLTH BRANDS INC,Pink Current,0.08,-5.8824,51001,Common Stock,USA,Florida,,,,,,
TWGL,20/20 GLOBAL INC,Pink Current,5.8,-3.3333,1444,Common Stock,USA,Florida,,,,,,
LTUS,LOTUS PHARMS INC,Pink Current,0.0922,-48.2022,351335,Common Stock,USA,Florida,,,,,,
GLPT,GLOBAL PROFIT TCHS INC FL,Pink Current,0.101,,0,Common Stock,USA,Arizona,,,,,,
SCNG,SC HOLDINGS CORPORATION,Pink Current,0.036,-19.8218,46040,Common Stock,USA,New York,,,,,,
EVCC,ENVIRONMENTAL CTRL CORP,Pink Current,0.0251,-38.7805,79299,Common Stock,USA,New York,,,,,,
CLRI,CLEARTRONIC INC,Pink Current,0.055,0,525,Common Stock,USA,Florida,,,,,,
SCGY,SCIENTIFIC ENERGY INC,Pink Current,0.03,,0,Common Stock,USA,New Jersey,,,,,,
MSGP,MEDSMART GROUP INC,Pink Current,0.25,,7,Common Stock,USA,Florida,,,,,,
EPAZ,EPAZZ INC,Pink Current,0.0424,0.9524,3273400,Common Stock,USA,Illinois,,,,,,
DIEN,DIVERSIFIED ENERGY HLDGS,Pink Current,0.2,0,10300,Common Stock,USA,New York,,,,,,
SGNI,STEMGEN INC,Pink Current,1.1,,1,Common Stock,USA,Texas,,,,,,
ANSU,AMANASU TECHNOLOGIES CORP,Pink Current,0.025,,0,Common Stock,USA,New York,,,,,,
DLYT,DAIS CORPORATION,Pink Current,0.266,,10,Common Stock,USA,Florida,,,,,,
RGGI,RESGREEN GROUP INTL,Pink Current,0.0875,-8.8542,128327,Common Stock,USA,Michigan,,,,,,
NUVG,NUVUS GRO CORP,Pink Current,0.08,14.2857,4000,Common Stock,USA,Florida,,,,,,
SFOR,STRIKEFORCE TECH INC,Pink Current,0.1255,-3.4615,12614049,Common Stock,USA,New Jersey,,,,,,
CNGT,CANNAGISTICS INC,Pink Current,0.075,11.5407,760703,Common Stock,USA,New York,,,,,,
CBOF,CBOA FINANCIAL INC,Pink Current,2.58,,0,Common Stock,USA,Arizona,,,,,,
ZYRX,ZYROX MINING INTL INC,Pink Current,0.04606,,0,Common Stock,USA,New York,,,,,,
CRGE,CHARGE ENTERPRISES INC.,Pink Current,3.45,-8.2447,146207,Common Stock,USA,Washington DC,,,,,,
PSUD,PETROSUN INC,Pink Current,0.142625,6.2384,108772,Common Stock,USA,Arizona,,,,,,
CAIB,CALIFORNIA INTL BANK,Pink Current,0.0735,,1,Common Stock,USA,California,,,,,,
ALDA,ATLANTICA INC,Pink Current,0.7,,0,Common Stock,USA,Florida,,,,,,
GVFF,GREENVILLE FEDERAL FINCL,Pink Current,9.1,,0,Common Stock,USA,Ohio,,,,,,
IFBC,ITALIAN FOOD & BEV CORP,Pink Current,0.009,3.4483,2177335,Common Stock,USA,New York,,,,,,
SNTE,SANTE TECHNOLOGY HOLDINGS,Pink Current,2,,0,Common Stock,USA,California,,,,,,
ITOX,IIOT-OXYS INC,Pink Current,0.019,0,1725897,Common Stock,USA,Massachusetts,,,,,,
PRTT,PROTECT PHARMS CORP,Pink Current,1.785,8.1818,233,Common Stock,USA,Utah,,,,,,
MFDB,MUTUAL FEDERAL BNCRP IL,Pink Current,4.61,,0,Common Stock,USA,Illinois,,,,,,
ECDP,ECO DEPOT INC,Pink Current,2,-0.5025,29725,Common Stock,USA,Nevada,,,,,,
CABB,CALIF BUSINESS BANK (CA),Pink Current,0.114,,1,Common Stock,USA,California,,,,,,
JTBK,JETBLACK CORP,Pink Current,0.0271,-9.9668,384423,Common Stock,USA,Nevada,,,,,,
SNPW,SUN PACIFIC HOLDING CORP,Pink Current,0.0565,-10.488,16410503,Common Stock,USA,New Jersey,,,,,,
WMHI,WORLD MBILE HLDGS INC,Pink Current,0.15,,0,Common Stock,USA,Pennsylvania,,,,,,
MLFB,MAJOR LEAGUE FOOTBALL INC,Pink Current,0.0282,-1.9642,1378563,Common Stock,USA,Florida,,,,,,
ABTO,AB&T FINCL CORP (NC),Pink Current,0.36,,0,Common Stock,USA,North Carolina,,,,,,
CHGI,CHINA CARBON GRAPHITE GRP,Pink Current,0.23695,-5.22,26095,Common Stock,USA,California,,,,,,
MILC,MILLENIUM INV&ACQ CO INC,Pink Current,0.55,,4,Common Stock,USA,New York,,,,,,
ATFS,ALTRUST FINCL SVCS INC,Pink Current,0,,0,Common Stock,USA,Alabama,,,,,,
SNDD,REDHAWK HOLDINGS CORP,Pink Current,0.009,-4.2553,8103086,Common Stock,USA,Louisiana,,,,,,
GSPE,GULFSLOPE ENERGY INC,Pink Current,0.0145,-3.7504,1706371,Common Stock,USA,Texas,,,,,,
SIGL,SIGNAL ADVANCE INC,Pink Current,2.42,-3.9683,18967,Common Stock,USA,Texas,,,,,,
FCCT,FIRST COMMUNITY CORP (TN),Pink Current,7.25,,0,Common Stock,USA,Tennessee,,,,,,
XLTD,EXCOIN LTD,Pink Current,6.89,-18.9412,1179,Common Stock,USA,Wyoming,,,,,,
IMHC,IMPERALIS HOLDING CORP,Pink Current,0.011,,0,Common Stock,USA,Wyoming,,,,,,
BHPA,BHPA INC,Pink Current,1.75,0,1500,Common Stock,USA,California,,,,,,
TVLF,TENNESSEE VLY FINL HL INC,Pink Current,5.5,,0,Common Stock,USA,Tennessee,,,,,,
HQDA,HQDA ELDERLY LIFE NTWK,Pink Current,1.25,,50,Common Stock,USA,California,,,,,,
HTZGQ,HERTZ GLOBAL HOLDINGS INC,Pink Current,1.13,-0.8772,3604285,Common Stock,USA,Florida,,,,,,
AMLM,AMER LITHIUM MINERALS INC,Pink Current,0.484,-3.2,262930,Common Stock,USA,Nevada,,,,,,
NTWN,NEWTOWN LANE MKTNG INC,Pink Current,6.75,-15.3074,115,Common Stock,USA,New York,,,,,,
IVST,INNOVEST GLOBAL INC,Pink Current,0.0777,-7.7197,35278,Common Stock,USA,Ohio,,,,,,
AFFU,AFFLUENCE CORP,Pink Current,0.4399,-16.5275,20870,Common Stock,USA,Colorado,,,,,,
HENC,HERO TECHNOLOGIES INC,Pink Current,0.0723,-5.798,125964,Common Stock,USA,Delaware,,,,,,
FHLB,FRIENDLY HILLS BANK (CA),Pink Current,9.35,,0,Common Stock,USA,California,,,,,,
UEEC,UNITED HEALTH PRODUTS INC,Pink Current,1.07,-2.7273,57267,Common Stock,USA,Nevada,,,,,,
USMT,US METRO BANCORP,Pink Current,3.108,0.2581,155,Common Stock,USA,California,,,,,,
DCLT,DATA CALL TECHS INC,Pink Current,0.0131,-6.4286,287731,Common Stock,USA,Texas,,,,,,
BWVI,BLUE WATER VENTURES INC,Pink Current,0.0898,12.25,27872,Common Stock,USA,Florida,,,,,,
ITNS,ITONIS INC,Pink Current,0.0023,-8,1885244,Common Stock,USA,California,,,,,,
VNUE,VNUE INC,Pink Current,0.0272,1.1152,2363790,Common Stock,USA,New York,,,,,,
IRCC,INDIGENOUS ROOTS CORP,Pink Current,0.1,,0,Common Stock,USA,Washington,,,,,,
WESC,W&E SOURCE CORP,Pink Current,0.0051,-60.4651,1600,Common Stock,USA,Delaware,,,,,,
BSRC,BIOSOLAR INC,Pink Current,0.0535,-6.9565,6809861,Common Stock,USA,California,,,,,,
TNPH,TIAN'AN PHARM CO LTD,Pink Current,0.056,,0,Common Stock,USA,Nevada,,,,,,
SIGN,SIGNET INTL HLDGS INC,Pink Current,0.2645,21.6092,28085,Common Stock,USA,Florida,,,,,,
PFBN,PACIFIC ALLIANCE BANK CA,Pink Current,8,,0,Common Stock,USA,California,,,,,,
GTXO,GTX CORP,Pink Current,0.046,-8.3665,2201462,Common Stock,USA,California,,,,,,
LHGI,LIGHTHOUSE GLOGAL HLDGS,Pink Current,0.0112,0.9009,30000,Common Stock,USA,Nevada,,,,,,
HNRC,HOUSTON NAT RES CORP,Pink Current,1.88,0,1402,Common Stock,USA,Texas,,,,,,
BYOC,BEYOND COMMERCE INC,Pink Current,0.0036,-7.6923,36038671,Common Stock,USA,Nevada,,,,,,
ZVTK,ZEVOTEK INC,Pink Current,0.0244,-3.6715,119529,Common Stock,USA,Nevada,,,,,,
AVOI,ADVANCED VOICE RECOGNITN,Pink Current,0.0166,0,48498,Common Stock,USA,Arizona,,,,,,
MEDH,MEDX HOLDINGS INC,Pink Current,0.0136,-4.2254,8940452,Common Stock,USA,Wyoming,,,,,,
WSGF,WORLD SERIES OF GOLF INC,Pink Current,0.0324,-10,40909715,Common Stock,USA,Nevada,,,,,,
LUDG,LUDWIG ENTERPRISES,Pink Current,0.108,-2.7027,60339,Common Stock,USA,Nevada,,,,,,
FIEB,FIRST IC CORPORATION,Pink Current,6.6,,0,Common Stock,USA,Georgia,,,,,,
NECA,NEW AMERICA ENERGY CORP,Pink Current,0.0032,-3.0303,155167852,Common Stock,USA,Georgia,,,,,,
NWYU,NEW YOU INC,Pink Current,0.075,-19.7861,402648,Common Stock,USA,California,,,,,,
PSYC,GLOBAL TRAC SOLUTIONS INC,Pink Current,0.017,-5.0279,3199322,Common Stock,USA,Nevada,,,,,,
ZSYC,SMART CLOSET INC,Pink Current,1.5,,0,Common Stock,USA,Nevada,,,,,,
CBDL,CBD LIFE SCIENCES INC,Pink Current,0.0028,-17.6471,236450153,Common Stock,USA,Arizona,,,,,,
CLIS,CLICKSTREAM CORP,Pink Current,0.252,-9.6774,5527163,Common Stock,USA,California,,,,,,
YTFD,YACHT FINDERS INC,Pink Current,2.99,,0,Common Stock,USA,Hawaii,,,,,,
GMEV,GME INNOTAINMENT INC,Pink Current,0.00525,0.9615,17365891,Common Stock,USA,New York,,,,,,
GDDN,GADSDEN CORP A,Pink Current,0,,0,Common Stock,USA,Alabama,,,,,,
PRED,PREDICTIVE TECH GROUP INC,Pink Current,0.17,0,202838,Common Stock,USA,Utah,,,,,,
MXSG,MEXUS GOLD US,Pink Current,0.02935,-2.1667,376281,Common Stock,USA,Nevada,,,,,,
SEGI,SYCAMORE ENTMT GROUP INC,Pink Current,0.0428,-10.6472,17806205,Common Stock,USA,Washington,,,,,,
ZICX,ZICIX CORPORATION,Pink Current,0.0084,-1.1765,961000,Common Stock,USA,Nevada,,,,,,
CMGO,CMG HOLDINGS GROUP INC,Pink Current,0.00902,6.1176,115600,Common Stock,USA,Illinois,,,,,,
TVPC,TWIN VEE POWERCATS INC,Pink Current,0.32,0,2931,Common Stock,USA,Florida,,,,,,
NBCO,NEON BLOOM INC,Pink Current,0.92495,36.0221,230,Common Stock,USA,Florida,,,,,,
DLOC,DIGITAL LOCATIONS INC,Pink Current,0.0431,-5.4825,800514,Common Stock,USA,California,,,,,,
MSTO,MASTERBEAT CORP,Pink Current,0.0107,5.9406,90369048,Common Stock,USA,Florida,,,,,,
WCIG,WEE-CIG INTL CORP,Pink Current,0.1248,5.1213,431,Common Stock,USA,Nevada,,,,,,
CYCA,CYTTA CORP,Pink Current,0.1475,15.9136,5047843,Common Stock,USA,Nevada,,,,,,
RDAR,RAADR INC,Pink Current,0.00373,-6.75,8887355,Common Stock,USA,Arizona,,,,,,
HSTA,HESTIA INSIGHT INC,Pink Current,9,,0,Common Stock,USA,Nevada,,,,,,
PXHI,PHONEX HOLDINGS INC,Pink Current,0.365,-1.3514,100,Common Stock,USA,New York,,,,,,
HAFG,HOLISTIC ASSET FINANCE GR,Pink Current,6,,0,Common Stock,USA,New York,,,,,,
SMPR,STANDARD METALS PROCESSNG,Pink Current,0.0753,-1.1811,19990,Common Stock,USA,Alabama,,,,,,
APRU,APPLE RUSH COMP INC,Pink Current,0.0107,4.902,29191261,Common Stock,USA,Florida,,,,,,
SIML,SIMLATUS CORP,Pink Current,0.00155,-3.125,190993128,Common Stock,USA,California,,,,,,
ISWH,ISW HOLDINGS INC.,Pink Current,0.65,-5.7971,1090130,Common Stock,USA,Texas,,,,,,
DGDM,DIGITAL DEVELOPMENT PARTN,Pink Current,0.04,-16.4927,9100,Common Stock,USA,Texas,,,,,,
ECGI,ECGI HOLDINGS INC,Pink Current,0.7,-26.3158,7634,Common Stock,USA,California,,,,,,
PTOI,PLASTIC2OIL INC,Pink Current,0.0341,10,17114,Common Stock,USA,New York,,,,,,
IDFB,IDAHO FIRST BANK (ID) NEW,Pink Current,7.5,,1,Common Stock,USA,Idaho,,,,,,
PASO,PATIENT ACCESS SLTNS INC,Pink Current,0.0116,-4.918,5750140,Common Stock,USA,New York,,,,,,
JETR,STAR JETS INTL,Pink Current,0.18,-15.0943,204607,Common Stock,USA,New York,,,,,,
GSRX,GSRX INDUSTRIES INC,Pink Current,0.09,-23.0769,17525,Common Stock,USA,Pennsylvania,,,,,,
VPRB,VPR BRANDS LP,Pink Current,0.049,-2,49504,Common Stock,USA,Florida,,,,,,
FDBL,FRIENDABLE INC,Pink Current,0.023,-11.8774,4434806,Common Stock,USA,California,,,,,,
STSN,STEMSATION INTL INC,Pink Current,0.036,,0,Common Stock,USA,Florida,,,,,,
CNNC,CANNONAU CORP,Pink Current,6.85,5.547,24513,Common Stock,USA,New York,,,,,,
PSRU,VALIANT EAGLE INC,Pink Current,0.0151,7.8571,35562376,Common Stock,USA,California,,,,,,
GLUC,GLUCOSE HEALTH INC,Pink Current,4.96,1.2245,20181,Common Stock,USA,Arkansas,,,,,,
OMHI,OM HOLDINGS INTL INC,Pink Current,2.78,,12,Common Stock,USA,Florida,,,,,,
CHNC,CHINA INFRASTRCTR CONS CP,Pink Current,0.00335,-9.4595,22725404,Common Stock,USA,Texas,,,,,,
CZNI,CRUZANI INC,Pink Current,0.0013,0,70306491,Common Stock,USA,New York,,,,,,
TSOI,THERAPEUTIC SLTNS INTL,Pink Current,0.10284,7.8553,6344051,Common Stock,USA,Idaho,,,,,,
NMEX,NORTHERN MINERALS & EXPL,Pink Current,0.098,-1.0101,2540,Common Stock,USA,Utah,,,,,,
SUIC,SINO UNTD WLDWDE CONS LTD,Pink Current,3.74,0,21384,Common Stock,USA,New York,,,,,,
RGIN,REGENICIN INC,Pink Current,0.0119,-40.3509,18250,Common Stock,USA,New Jersey,,,,,,
MOJO,MOJO ORGANICS INC,Pink Current,0.16995,-10.5526,7096,Common Stock,USA,New Jersey,,,,,,
CATV,4CABLE TV INTL INC,Pink Current,0.03024,-5.2038,17556326,Common Stock,USA,Florida,,,,,,
OCLN,ORIGINCLEAR INC,Pink Current,0.0776,-3,98151,Common Stock,USA,Florida,,,,,,
DLTI,DLT RESOLUTION INC,Pink Current,1.4,8.5271,171058,Common Stock,USA,Nevada,,,,,,
CBGL,CANNABIS GLOBAL INC,Pink Current,0.15,5.6338,76303,Common Stock,USA,California,,,,,,
DKMR,XTREME FIGHTING CHAMPSHIP,Pink Current,0.1999,9.235,684059,Common Stock,USA,Florida,,,,,,
BRGO,BERGIO INTL INC,Pink Current,0.0171,-7.3171,5451010,Common Stock,USA,New Jersey,,,,,,
CRSM,CARSMARTT INC,Pink Current,0.0141,-11.875,7656293,Common Stock,USA,Florida,,,,,,
DNAX,DNA BRANDS INC,Pink Current,1.137,-3.6441,15950,Common Stock,USA,Florida,,,,,,
PTAM,POTASH AMERICA INC,Pink Current,0.0297,-0.3356,27630,Common Stock,USA,Florida,,,,,,
ENZC,ENZOLYTICS INC,Pink Current,0.27955,-6.8477,15841169,Common Stock,USA,Texas,,,,,,
TMAK,TOUCHMARK BANCSHARES INC,Pink Current,9.12,,0,Common Stock,USA,Georgia,,,,,,
URAL,UNITED RAIL INC,Pink Current,3.43,-0.2907,1212,Common Stock,USA,Nevada,,,,,,
SODE,SOCIAL DETENTION INC,Pink Current,0.23,-4.1667,1569720,Common Stock,USA,California,,,,,,
RMSL,REMSLEEP HOLDINGS INC,Pink Current,0.0081,1.25,3601803,Common Stock,USA,Florida,,,,,,
BLPG,BLUE LINE PROTECTION GRP,Pink Current,0.01458,-2.1477,2839104,Common Stock,USA,Colorado,,,,,,
GCEI,GLOBAL CLEAN ENERGY INC,Pink Current,0.265,-7.8261,338495,Common Stock,USA,Texas,,,,,,
QBAN,TELCO CUBA INC,Pink Current,0.0014,-12.5,97783691,Common Stock,USA,Florida,,,,,,
HQGE,HQ GLOBAL EDUCATION INC,Pink Current,0.0067,-12.987,51820155,Common Stock,USA,California,,,,,,
TTCM,TAUTACHROME INC,Pink Current,0.011,-8.3333,11212937,Common Stock,USA,Arizona,,,,,,
PCTL,PCT LTD,Pink Current,0.023,1.7699,1496714,Common Stock,USA,South Carolina,,,,,,
LVVV,LIVEWIRE ERGOGENICS INC,Pink Current,0.0181,13.125,7765330,Common Stock,USA,California,,,,,,
VDRM,VIADERMA INC,Pink Current,0.0217,-11.9675,27020725,Common Stock,USA,California,,,,,,
CBTC,XTRA BITCOIN INC,Pink Current,0.0159,-10.6742,25723280,Common Stock,USA,Idaho,,,,,,
OMID,OMID HLDGS INC,Pink Current,0.11355,-9.16,660033,Common Stock,USA,New Jersey,,,,,,
MSLP,MUSCLE PHARM CORP,Pink Current,0.55,-0.9901,3011,Common Stock,USA,California,,,,,,
SRSG,SPIRITS TIME INTL INC,Pink Current,1.45,,0,Common Stock,USA,Utah,,,,,,
UPIN,UNIVERSAL PWR IND CORP,Pink Current,0.067,-4.1488,28016,Common Stock,USA,New York,,,,,,
MMEX,MMEX RESOURCES CORP,Pink Current,0.0013,-13.3333,915839192,Common Stock,USA,Texas,,,,,,
OATN,O A T INC,Pink Current,0.0535,0,227,Common Stock,USA,California,,,,,,
VBIO,VITALITY BIOPHARMA INC,Pink Current,0.175,2.9412,14880,Common Stock,USA,California,,,,,,
TKLS,TRUTANKLESS INC,Pink Current,0.116,3.134,1204,Common Stock,USA,Arizona,,,,,,
SIRC,SOLAR INTEG ROOFING CORP,Pink Current,0.8,-11.0815,2962634,Common Stock,USA,California,,,,,,
GMGI,GOLDEN MATRIX GROUP INC,Pink Current,5.49,-0.1818,40952,Common Stock,USA,Nevada,,,,,,
UCPA,UNITED COMMUNS PRTNRS,Pink Current,0.0088,-4.7619,495692,Common Stock,USA,New York,,,,,,
GCGXD,GLOBAL CONSORTIUM INC NEW,Pink Current,2.5,14.6789,3399,Common Stock,USA,Florida,,,,,,
LAKF,LAKE FOREST MINERALS INC,Pink Current,5.0001,,0,Common Stock,USA,Nevada,,,,,,
RCIT,REELCAUSE INC,Pink Current,0.09,0.4464,75877,Common Stock,USA,Nevada,,,,,,
BRZL,SCEPTER HOLDINGS INC,Pink Current,0.031,3.8526,4644432,Common Stock,USA,Nevada,,,,,,
BONZ,BONANZA GOLDFIELDS CORP,Pink Current,0.0088,-3.2967,3017816,Common Stock,USA,Nevada,,,,,,
SING,SINGLEPOINT INC,Pink Current,0.023,-4.9587,22326044,Common Stock,USA,Arizona,,,,,,
DDDX,3DX INDUSTRIES INC,Pink Current,0.1602,-2.5547,118213,Common Stock,USA,Washington,,,,,,
CBNT,C-BOND SYSTEMS INC,Pink Current,0.063,4.1322,744993,Common Stock,USA,Texas,,,,,,
SVAP,STANDARD VAPE CORP,Pink Current,0.17,-15,14674,Common Stock,USA,New York,,,,,,
CELZ,CREATIVE MEDICAL TECH,Pink Current,0.041,1.4851,9910230,Common Stock,USA,Arizona,,,,,,
ITMC,ITOCO INC,Pink Current,0.28,9.8039,297109,Common Stock,USA,Nevada,,,,,,
GPLB,GREEN PLANET BIOENGR,Pink Current,0.11,,0,Common Stock,USA,Florida,,,,,,
CVCS,CHARTER CORPORATE SVCS IN,Pink Current,1.96,,1,Common Stock,USA,California,,,,,,
DENR,DISCOVERY ENERGY CORP,Pink Current,0.17,,0,Common Stock,USA,Texas,,,,,,
HALB,HALBERD CORP,Pink Current,0.0812,16,54415315,Common Stock,USA,Pennsylvania,,,,,,
CNNA,CANN AMERICAN CORP,Pink Current,0.02355,-6.1753,231927,Common Stock,USA,California,,,,,,
LRDC,LAREDO OIL INC,Pink Current,0.15,4.1667,192243,Common Stock,USA,Texas,,,,,,
VRTY,VERITY CORP,Pink Current,0.074,-21.2766,3507,Common Stock,USA,Colorado,,,,,,
MAXD,MAX SOUND CORPORATION,Pink Current,0.0089,-2.1978,50296593,Common Stock,USA,California,,,,,,
XTRM,EXTREME BIODIESEL INC,Pink Current,0.0068,-4.2254,6626058,Common Stock,USA,Nevada,,,,,,
IDWM,IDW MEDIA HLDGS INC (B),Pink Current,4,0,1636,Common Stock,USA,New Jersey,,,,,,
NSPX,INSPYR THERAPEUTICS INC,Pink Current,0.0157,-10.7955,3020412,Common Stock,USA,California,,,,,,
PBKX,PARTNERS BANK CALIFORNIA,Pink Current,9.85,,0,Common Stock,USA,California,,,,,,
GMER,GOOD GAMING INC,Pink Current,0.0545,-13.4921,2693339,Common Stock,USA,Pennsylvania,,,,,,
QHYG,QHY GROUP,Pink Current,0.137,,0,Common Stock,USA,New York,,,,,,
FMPR,FAME PRODUCTIONS INC,Pink Current,1.25,,0,Common Stock,USA,New York,,,,,,
BRVO,BRAVO MULTINATIONAL INC,Pink Current,0.235,-6,370,Common Stock,USA,Virginia,,,,,,
ECOX,ECO INNOVATION GRP INC,Pink Current,0.0675,-0.7353,56461,Common Stock,USA,California,,,,,,
KMGH,KEMIAO GARMENT HLDG GRP,Pink Current,7.0001,,0,Common Stock,USA,Nevada,,,,,,
LGMH,LIGHT MEDIA HOLDINGS INC,Pink Current,0.1405,,0,Common Stock,USA,Georgia,,,,,,
CATG,CAPSTONE TECHNOLOGIES,Pink Current,0.121,0.8333,5500,Common Stock,USA,Nevada,,,,,,
PKPH,PEAK PHARMACEUTICALS INC,Pink Current,0.1589,2.384,269787,Common Stock,USA,Arizona,,,,,,
CLEV,CONCRETE LEVELING SYS INC,Pink Current,1.78,3.4884,575,Common Stock,USA,Ohio,,,,,,
QEBR,VIRTUAL MEDICAL INTL INC,Pink Current,0.048,23.3933,3465032,Common Stock,USA,Nevada,,,,,,
HYSR,SUNHYDROGEN INC.,Pink Current,0.121,-5.3948,13883399,Common Stock,USA,California,,,,,,
GTCH,GBT TECHNOLOGIES INC,Pink Current,0.0309,3.3445,9613611,Common Stock,USA,California,,,,,,
GHMP,GOOD HEMP INC,Pink Current,1.08,0.9346,10259,Common Stock,USA,North Carolina,,,,,,
HWAL,HOLLYWALL ENT INC,Pink Current,2.86,-8.0386,20113,Common Stock,USA,Washington DC,,,,,,
YRIV,YANGTZE RVR PORT&LOGISTIC,Pink Current,0.0816,-13.5593,224694,Common Stock,USA,New York,,,,,,
MCOA,MARIJUANA CO OF AMER INC,Pink Current,0.0086,-5.4945,89643161,Common Stock,USA,California,,,,,,
CLKA,CLIKIA CORP,Pink Current,1,0,56855,Common Stock,USA,New Jersey,,,,,,
INTBD,SENTIENT BRANDS HOLDINGS,Pink Current,1,,0,Common Stock,USA,New York,,,,,,
CRYO,AMERICAN CRYOSTEM CORP,Pink Current,0.7,-7.2909,10483,Common Stock,USA,New Jersey,,,,,,
BCRD,BLUEONE CARD INC,Pink Current,0,,1,Common Stock,USA,California,,,,,,
TTSH,TILE SHOP HLDGS INC,Pink Current,6.6,-3.3675,81816,Common Stock,USA,Minnesota,,,,,,
TLSS,TRANSPORTATION & LOGISTIC,Pink Current,0.034,-5.1868,13150102,Common Stock,USA,Florida,,,,,,
MDRM,MODERN MOBILITY AIDS INC,Pink Current,0.0325,-1.5152,1274186,Common Stock,USA,California,,,,,,
GRPX,GREENPLEX SERVICES INC,Pink Current,0.15,,0,Common Stock,USA,Wyoming,,,,,,
AFDG,AFRICAN DISCOVERY GRP INC,Pink Current,0.145,18.8525,53000,Common Stock,USA,New York,,,,,,
XERI,XERIANT INC,Pink Current,0.276945,0.3424,127243,Common Stock,USA,Florida,,,,,,
AITX,ARTIFICIAL INTL SLTNS,Pink Current,0.109475,-5.8118,30809334,Common Stock,USA,Nevada,,,,,,
HIGR,HI-GREAT GROUP HLDG CO,Pink Current,1,,0,Common Stock,USA,California,,,,,,
CLNH,CLINIGENCE HOLDINGS INC,Pink Current,2.85,-5,3400,Common Stock,USA,Florida,,,,,,
NWPP,NEW PEOPLES BNKSHS INC,Pink Current,2,0,100,Common Stock,USA,Virginia,,,,,,
BTHR,SPORTS VENUES OF FLORIDA,Pink Current,0.07,0.1431,313871,Common Stock,USA,Florida,,,,,,
FRZT,FREEZE TAG INC,Pink Current,0.04,-0.8674,52500,Common Stock,USA,California,,,,,,
SDTTU,SANDRIDGE MISSISSIPPN TR,Pink Current,0.21665,-2.8039,16518,Common Stock,USA,Texas,,,,,,
GKIN,GUSKIN GOLD CORP.,Pink Current,0.18,,0,Common Stock,USA,California,,,,,,
CRDX,CREDEX CORPORATION,Pink Current,0,,0,Common Stock,USA,Nevada,,,,,,
HBIS,HOME BISTRO INC,Pink Current,0.85,107.824,9142,Common Stock,USA,Colorado,,,,,,
ATMH,ALL THINGS MOBILE ANLYTIC,Pink Current,0.148,40.9524,2013,Common Stock,USA,New York,,,,,,
CLAD,CHINA LIAONING DINGXU ECO,Pink Current,4,,0,Common Stock,USA,California,,,,,,
SOAN,ANGIOSOMA INC,Pink Current,0.0645,1.3832,2011091,Common Stock,USA,Texas,,,,,,
ONOV,CASTELLUM INC,Pink Current,0.1,-9.0909,5000,Common Stock,USA,Maryland,,,,,,
HCGI,HUNTWICKE CAPITAL GROUP,Pink Current,7.58,,0,Common Stock,USA,Massachusetts,,,,,,
NTRR,NEUTRA CORPORATION,Pink Current,0.007,2.9412,8277882,Common Stock,USA,Texas,,,,,,
GYST,GRAYSTONE CO INC A,Pink Current,0.0202,-12.1739,494690,Common Stock,USA,Florida,,,,,,
RRRT,R-THREE TECHNOLOGIES INC,Pink Current,0.185,0,48380,Common Stock,USA,California,,,,,,
PERS,SANDRIDGE PERMIAN TRUST,Pink Current,0.47,-1.1982,75221,Common Stock,USA,Texas,,,,,,
GLHD,PSH GROUP HLDG INC,Pink Current,2,,0,Common Stock,USA,Nevada,,,,,,
WNRS,WINNERS INC,Pink Current,0.24,-2.0408,394245,Common Stock,USA,Nevada,,,,,,
AMRR,AMERICAN MTLS RCVRY & REC,Pink Current,0.422,,0,Common Stock,USA,California,,,,,,
CNCL,CANCER CAPITAL CORP,Pink Current,0,,0,Common Stock,USA,Utah,,,,,,
NAFS,NORTH AMERICA FRAC SAND,Pink Current,0.0074,1.3699,199439,Common Stock,USA,California,,,,,,
VBHI,VERDE BIO HLDGS INC,Pink Current,0.028,6.2619,18813445,Common Stock,USA,Texas,,,,,,
HFUS,HARTFORD GREAT HLTH CP,Pink Current,0.129,,0,Common Stock,USA,California,,,,,,
ILUS,ILUSTRATO PICTURES INTL,Pink Current,0.155,10.6353,26266028,Common Stock,USA,New York,,,,,,
SOLS,SOLLENSYS CORP,Pink Current,5.21,-13.1652,345,Common Stock,USA,Florida,,,,,,
GSTX,GRAPHENE & SOLAR TECHS,Pink Current,0.92,-2.6455,5141,Common Stock,USA,California,,,,,,
